Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Finland,1428446,7783,0,1420663,0,0.54,0.0,0.0,5540718,257809.0,1417909,10537,0.74
France,39174528,161788,0,39012740,71858,0.41,0.0,0.0,68128061,575013.0,38815319,359209,0.93
Gabon,48973,306,0,48667,0,0.62,0.0,0.0,2225728,22003.0,48973,0,0.0
Gambia,12586,372,0,12214,0,2.96,0.0,0.0,2416664,5208.0,12586,0,0.0
Georgia,1808085,16895,0,1791190,0,0.93,0.0,0.0,3989175,453248.0,1807654,431,0.02
Germany,37088426,160246,0,36928180,52528,0.43,0.0,0.0,166310062,223008.0,36859058,229368,0.62
Ghana,171038,1461,0,169577,0,0.85,0.0,0.0,31072945,5504.0,171023,15,0.01
Greece,5548487,34779,0,5513708,47750,0.63,0.0,0.0,10423056,532328.0,5500737,47750,0.87
Grenada,19644,238,0,19406,0,1.21,0.0,0.0,112519,174584.0,19644,0,0.0
Guatemala,1187909,19986,0,1167923,2819,1.68,0.0,0.0,17915567,66306.0,1174448,13461,1.15
Guinea,38191,465,0,37726,0,1.22,0.0,0.0,13132792,2908.0,38153,38,0.1
Guinea-Bissau,8848,176,0,8672,0,1.99,0.0,0.0,1967998,4496.0,8848,0,0.0
Guyana,71757,1285,0,70472,0,1.79,0.0,0.0,786559,91229.0,71757,0,0.0
Haiti,33876,860,0,33016,0,2.54,0.0,0.0,11402533,2971.0,33874,2,0.01
Holy See,29,0,0,29,0,0.0,0.0,0.0,809,35847.0,29,0,0.0
Honduras,462340,11060,0,451280,0,2.39,0.0,0.0,9904608,46679.0,460714,1626,0.35
Hungary,2176249,48380,0,2127869,0,2.22,0.0,0.0,9660350,225276.0,2171056,5193,0.24
Iceland,207974,229,0,207745,873,0.11,0.0,0.0,341250,609448.0,207101,873,0.42
India,44677554,530680,0,44146874,132,1.19,0.0,0.0,2751341248,16238.0,44676470,1084,0.0
Indonesia,6711703,160451,0,6551252,1297,2.39,0.0,0.0,273523621,24538.0,6702132,9571,0.14
Iran,7560581,144667,0,7415914,62,1.91,0.0,0.0,83992953,90014.0,7560247,334,0.0
Iraq,2465107,25373,0,2439734,0,1.03,0.0,0.0,40222503,61287.0,2464375,732,0.03
Ireland,1684717,8270,0,1676447,0,0.49,0.0,0.0,4937796,341188.0,1682409,2308,0.14
Israel,4751638,11981,0,4739657,1379,0.25,0.0,0.0,8655541,548971.0,4741232,10406,0.22
Italy,24884034,183138,0,24700896,0,0.74,0.0,0.0,120822834,205955.0,24709404,174630,0.71
Jamaica,152669,3447,0,149222,0,2.26,0.0,0.0,2961161,51557.0,152669,0,0.0
Japan,27396606,53738,0,27342868,187070,0.2,0.0,0.0,252643406,108440.0,26331295,1065311,4.05
Jordan,1746997,14122,0,1732875,0,0.81,0.0,0.0,10203140,171222.0,1746997,0,0.0
Kazakhstan,1488306,19057,0,1469249,0,1.28,0.0,0.0,18776707,79263.0,1488306,0,0.0
Kenya,342368,5688,0,336680,21,1.66,0.0,0.0,53771300,6367.0,342155,213,0.06
Kiribati,3430,13,0,3417,0,0.38,0.0,0.0,117606,29165.0,3430,0,0.0
"Korea, North",1,6,0,-5,0,600.0,0.0,0.0,25778815,0.0,1,0,0.0
"Korea, South",28390646,31549,0,28359097,88172,0.11,0.0,0.0,51269183,553757.0,27925572,465074,1.67
Kosovo,272235,3202,0,269033,2,1.18,0.0,0.0,1793000,151832.0,272219,16,0.01
